date,ticker,sentiment_score,news_count
2026-06-01,1216.TW,0.25,2
2026-06-01,1303.TW,0.0,1
2026-06-01,1504.TW,0.0,1
2026-06-01,1513.TW,0.0,1
2026-06-01,2015.TW,0.0,1
2026-06-01,2031.TW,0.0,2
2026-06-01,2204.TW,0.0,4
2026-06-01,2308.TW,0.0,1
2026-06-01,2317.TW,0.0,6
2026-06-01,2330.TW,0.25,16
2026-06-01,2408.TW,0.0,1
2026-06-01,2409.TW,0.5,1
2026-06-01,2454.TW,0.1111111111111111,9
2026-06-01,2468.TW,0.0,1
2026-06-01,2504.TW,0.0,1
2026-06-01,2545.TW,0.0,1
2026-06-01,2609.TW,-1.0,1
2026-06-01,2889.TW,0.0,1
2026-06-01,3481.TW,0.5,1
2026-06-01,3711.TW,0.0,2
2026-06-01,4958.TW,0.0,1
2026-06-01,5274.TWO,0.0,1
2026-06-01,MARKET,0.25333333333333335,75
