rank,feature,feature_label,importance,importance_pct
1,vix_close,VIX恐慌指數,0.23812678294909292,0.23812678294909292
2,benchmark_return,大盤日報酬,0.16526780145874442,0.16526780145874442
3,us10y_close,美國10年債殖利率,0.11801316411186212,0.11801316411186212
4,bb_width,布林通道寬度,0.08939732281159014,0.08939732281159014
5,daily_return,個股日報酬,0.05370068619297288,0.05370068619297288
6,momentum_10,10日動能,0.04206513329252352,0.04206513329252352
7,bb_percent,布林通道位置,0.04181751777228307,0.04181751777228307
8,rsi_14,RSI相對強弱,0.03539497289199874,0.03539497289199874
9,beta_60,60日Beta,0.034779381470986685,0.034779381470986685
10,kd_k,KD-K值,0.029069699396040514,0.029069699396040514
11,kd_d,KD-D值,0.023173751313148774,0.023173751313148774
12,sma_120,120日均線,0.015042844081454993,0.015042844081454993
13,volume_ratio_20,20日量能比,0.011965688889631345,0.011965688889631345
14,sma_60,60日均線,0.010842114811451685,0.010842114811451685
15,atr_14,ATR波動度,0.01072566340290156,0.01072566340290156
16,ema_12,12日EMA,0.010083042504880199,0.010083042504880199
17,vwap_20,20日VWAP,0.009422154839429276,0.009422154839429276
18,obv,OBV能量潮,0.009313812898819794,0.009313812898819794
19,ema_26,26日EMA,0.009183332438540899,0.009183332438540899
20,sma_20,20日均線,0.009181773880878192,0.009181773880878192
21,macd,MACD差離值,0.008650128168888315,0.008650128168888315
22,sma_5,5日均線,0.008586922173458019,0.008586922173458019
23,macd_hist,MACD柱狀體,0.008521246319836202,0.008521246319836202
24,macd_signal,MACD訊號線,0.007675061928585696,0.007675061928585696
25,sentiment_score,新聞情緒分數,0.0,0.0
